name,longitude,latitude,ellipsoidal_height
0,-114.04779163156829,46.66911572502088,
1,-114.04769368550525,46.67091317760773,
2,-114.0475957300548,46.67271062946984,
3,-114.04749776521582,46.6745080806072,
4,-114.0473997909872,46.67630553101978,
5,-114.0473018073678,46.67810298070757,
6,-114.0472038143565,46.67990042967057,
7,-114.04710581195218,46.681697877908725,
8,-114.0470078001537,46.68349532542203,
9,-114.04690977895994,46.68529277221048,
10,-114.04681174836982,46.68709021827405,
11,-114.04671370838214,46.688887663612725,
12,-114.04661565899583,46.69068510822648,
13,-114.04651760020974,46.692482552115315,
14,-114.04641953202275,46.694279995279174,
15,-114.04632145443374,46.69607743771809,
16,-114.04622336744157,46.697874879431986,
17,-114.04612527104511,46.6996723204209,951.945
18,-114.04602716524329,46.701469760684795,951.054
19,-114.04592905003491,46.70326720022362,951.46
20,-114.04583092541887,46.70506463903741,951.111
21,-114.04573279139404,46.706862077126125,951.749
22,-114.0456346479593,46.70865951448974,950.928
23,-114.04553649511354,46.71045695112822,949.851
24,-114.0454383328556,46.71225438704159,950.068
25,-114.04534016118438,46.71405182222982,950.364
26,-114.04524198009872,46.71584925669287,948.806
27,-114.04514378959752,46.71764669043074,948.56
28,-114.04504558967965,46.7194441234434,948.261
29,-114.04484916158931,46.72303898729306,
30,-114.04518051579844,46.669048277730695,
31,-114.04508248349397,46.670845726116546,
32,-114.04498444179383,46.672643173777374,
33,-114.04488639069694,46.67444062071317,
34,-114.04478833020215,46.67623806692391,
35,-114.04469026030836,46.67803551240959,
36,-114.0445921810144,46.67983295717018,
37,-114.04449409231917,46.681630401205666,953.676
38,-114.04439599422155,46.68342784451603,954.01
39,-114.0442978867204,46.68522528710126,954.424
40,-114.0441997698146,46.68702272896134,953.708
41,-114.04410164350303,46.688820170096236,953.169
42,-114.04400350778455,46.69061761050595,952.21
43,-114.04390536265807,46.69241505019043,953.033
44,-114.04370904417648,46.69600992738373,992.807
45,-114.04361087081914,46.697807364892476,972.782
46,-114.04341449586572,46.70140223773413,951.64
47,-114.0433162942674,46.703199673066976,951.854
48,-114.04321808325314,46.7049971076745,951.367
49,-114.04311986282184,46.70679454155666,951.294
50,-114.04302163297238,46.708591974713464,950.821
51,-114.04292339370362,46.71038940714486,950.059
52,-114.0428251450144,46.71218683885086,950.636
53,-114.04272688690365,46.71398426983143,949.722
54,-114.04262861937019,46.71578170008656,949.408
55,-114.04233376022242,46.72117398649909,986.251
56,-114.04223545498692,46.722971413852264,
57,-114.04256940942274,46.668980770928876,955.767
58,-114.04247129087797,46.67077821511,955.992
59,-114.0423731629293,46.67257565856583,955.177
60,-114.04227502557559,46.674373101296354,955.531
61,-114.04217687881578,46.676170543301545,954.722
62,-114.0420787226487,46.6779679845814,954.878
63,-114.0419805570732,46.679765425135905,955.04
64,-114.0418823820882,46.68156286496501,953.578
65,-114.04178419769255,46.68336030406873,954.014
66,-114.04168600388515,46.68515774244703,954.699
67,-114.04158780066481,46.6869551800999,953.814
68,-114.04148958803047,46.68875261702731,952.597
69,-114.04129313451519,46.692347488705714,953.523
70,-114.04109664333026,46.69594235748211,1015.829
71,-114.04099838360888,46.697739790781995,998.204
72,-114.0406052505041,46.70492951672579,970.744
73,-114.04031030171375,46.71032180356456,966.347
74,-114.04001526806513,46.71571408387217,978.453
75,-114.03991690465293,46.71751150918992,1007.348
76,-114.03972014952775,46.72110635764812,1003.399
77,-114.03962175781251,46.72290378078856,
78,-114.03995831244946,46.66891320461593,955.384
79,-114.03986010766549,46.67071064458864,955.224
80,-114.0397618934694,46.672508083835766,955.074
81,-114.03966366986003,46.67430552235732,955.34
82,-114.03956543683631,46.676102960153266,954.856
83,-114.03936894254117,46.679697833568284,969.588
84,-114.03897584092869,46.68688757169029,967.119
85,-114.03877923359329,46.69048243639699,979.576
86,-114.03868091578936,46.69227986766171,1009.585
87,-114.03858258855976,46.69407729820065,1020.599
88,-114.03848425190337,46.69587472801378,1027.937
89,-114.03838590581906,46.697672157101096,1006.382
90,-114.0382875503057,46.69946958546257,995.37
91,-114.03818918536214,46.701267013098196,992.441
92,-114.0380908109873,46.70306444000795,991.954
93,-114.03799242718001,46.7048618661918,984.47
94,-114.03789403393915,46.706659291649764,974.567
95,-114.03779563126359,46.70845671638178,979.445
96,-114.03769721915222,46.71025414038787,986.979
97,-114.03759879760388,46.71205156366799,991.157
98,-114.03750036661744,46.713848986222125,1005.592
99,-114.03740192619179,46.715646408050276,1028.511
100,-114.03730347632579,46.7174438291524,1027.52
101,-114.0372050170183,46.71924124952848,1007.425
102,-114.0371065482682,46.721038669178526,1017.878
103,-114.03700807007435,46.72283608810249,
104,-114.03734722488682,46.668845578792435,955.41
105,-114.0372489338648,46.670643014553015,956.765
