name,longitude,latitude,ellipsoidal height
45,-114.04361087081914,46.69780736489248,972.782
71,-114.04099838360888,46.697739790782,998.204
72,-114.0406052505041,46.70492951672579,970.744
89,-114.03838590581906,46.697672157101096,1006.382
90,-114.0382875503057,46.69946958546257,995.37
91,-114.03818918536214,46.7012670130982,992.441
92,-114.0380908109873,46.70306444000795,991.954
93,-114.03799242718,46.7048618661918,984.47
94,-114.03789403393915,46.70665929164976,974.567
118,-114.03587186990404,46.6958070389793,1042.775
119,-114.0356749955745,46.69940188799524,1010.621
120,-114.03557654425263,46.70119931141404,1008.49
121,-114.03537961328912,46.70479415607312,1019.316
122,-114.0352811336452,46.70659157731342,1014.412
145,-114.0333580067028,46.69394186900178,1083.31
146,-114.03325949734048,46.6957392903792,1046.307
147,-114.03306245028138,46.69933413095488,1032.891
148,-114.03296391258236,46.70113155015313,1023.313
149,-114.03286536543553,46.70292896862493,1030.1
150,-114.03276680883972,46.7047263863703,1066.957
151,-114.0326682427938,46.7065238033892,1061.032
152,-114.03256966729668,46.70832121968162,1044.016
173,-114.0307457299346,46.69387406506005,1079.784
174,-114.03054852905473,46.69746889864139,1053.729
175,-114.03044991443458,46.69926631434205,1055.9
176,-114.03035129035952,46.70106372931605,1041.781
177,-114.03015401384,46.70465855708387,1091.24
178,-114.03005536139328,46.70645596987768,1110.421
199,-114.02793608902915,46.697401026684325,1080.427
200,-114.0278373880424,46.69919843815732,1078.473
201,-114.0277386775924,46.70099584890334,1073.084
227,-114.02532365846528,46.697333095159614,1108.274
228,-114.025224871113,46.6991305024012,1106.088
